Date,INFY,MARUTI,RELIANCE,SUNPHARMA,TCS,BPCL
12-04-2012,343.831238,1312.400024,368.160217,286.399994,565.825012,113.316666
13-04-2012,300.318756,1322.75,372.24646,292.700012,534.174988,112.974998
16-04-2012,295.568756,1342.300049,370.537659,288.924988,534.875,113.074997
17-04-2012,297.587494,1342.199951,369.695648,292.350006,545.424988,114.474998
18-04-2012,296.40625,1352.5,370.785339,298.325012,548.775024,116.408333
19-04-2012,300.674988,1391.25,367.342957,298.700012,551.474976,115.800003
20-04-2012,300.924988,1390.699951,361.993652,294.399994,544.224976,116.041664
23-04-2012,288.862488,1377.550049,364.693085,297.825012,532.125,112.441666
24-04-2012,293.693756,1363.75,364.098694,297.725006,597.099976,114.599998
25-04-2012,293.743744,1382.099976,364.693085,296.649994,585.525024,114.375
26-04-2012,294.524994,1381.949951,369.027008,298.700012,597.325012,110.166664
27-04-2012,298.875,1382.5,367.516327,299.375,602,110.466667
30-04-2012,307.762512,1371.849976,369.051758,301.549988,623.299988,111.775002
02-05-2012,309,1332.900024,368.284027,298.325012,633.625,109.591667
03-05-2012,310.362488,1290,365.956116,299.774994,639.75,110.275002
04-05-2012,305.243744,1281.300049,359.814331,300.649994,638.400024,108.73333
07-05-2012,304.700012,1310.849976,354.489777,300.125,636.625,114.35833
08-05-2012,299.237488,1306,350.849304,297.325012,600.349976,113.391663
09-05-2012,295.78125,1301.25,344.286499,299.875,612.775024,114.816666
10-05-2012,293.024994,1261.849976,343.815979,296.799988,616.275024,117.375
11-05-2012,288.912506,1235.25,345.32666,285.549988,615.375,116.716667
14-05-2012,292.368744,1249,337.451294,288.75,612.974976,118.974998
15-05-2012,301.899994,1217.300049,337.624664,297.424988,613.150024,121.458336
16-05-2012,296.056244,1192.099976,334.875702,291.075012,611.700012,125.349998
17-05-2012,296.318756,1205.300049,339.358215,289.975006,611,122.641663
18-05-2012,297.856262,1166.650024,341.042267,290.875,605.325012,120.816666
21-05-2012,292.556244,1208.800049,344.484619,297.450012,604.599976,120.966667
22-05-2012,292.637512,1153.949951,342.305298,287.100006,612.025024,121.349998
23-05-2012,293.524994,1153.099976,340.200226,285.299988,612.575012,120.366669
